;KodTeryt;Powiat;SalonIndeks
242;2210000;Powiat nowodworski;8
243;2211000;Powiat pucki;11
244;2212000;Powiat słupski;10
245;2213000;Powiat starogardzki;14
246;2214000;Powiat tczewski;13
247;2215000;Powiat wejherowski;12
248;2216000;Powiat sztumski;8
249;2261000;Powiat m.Gdańsk;41
250;2262000;Powiat m.Gdynia;25
251;2263000;Powiat m.Słupsk;11
252;2264000;Powiat m.Sopot;26
253;2401000;Powiat będziński;10
254;2402000;Powiat bielski;12
255;2403000;Powiat cieszyński;11
256;2404000;Powiat częstochowski;9
257;2405000;Powiat gliwicki;9
258;2406000;Powiat kłobucki;2
259;2407000;Powiat lubliniecki;10
260;2408000;Powiat mikołowski;12
261;2409000;Powiat myszkowski;6
262;2410000;Powiat pszczyński;10
263;2411000;Powiat raciborski;15
264;2412000;Powiat rybnicki;8
265;2413000;Powiat tarnogórski;12
266;2414000;Powiat bieruńsko-lędziński;8
267;2415000;Powiat wodzisławski;6
268;2416000;Powiat zawierciański;13
269;2417000;Powiat żywiecki;13
270;2461000;Powiat m.Bielsko-Biała;18
271;2462000;Powiat m.Bytom;15
272;2463000;Powiat m.Chorzów;11
273;2464000;Powiat m.Częstochowa;16
274;2465000;Powiat m.Dąbrowa Górnicza;21
275;2466000;Powiat m.Gliwice;27
276;2467000;Powiat m.Jastrzębie-Zdrój;46
277;2468000;Powiat m.Jaworzno;22
278;2469000;Powiat m.Katowice;35
279;2470000;Powiat m.Mysłowice;8
280;2471000;Powiat m.Piekary Śląskie;14
281;2472000;Powiat m.Ruda Śląska;11
282;2473000;Powiat m.Rybnik;13
283;2474000;Powiat m.Siemianowice Śląskie;11
284;2475000;Powiat m.Sosnowiec;15
285;2476000;Powiat m.Świętochłowice;6
286;2477000;Powiat m.Tychy;17
287;2478000;Powiat m.Zabrze;17
288;2479000;Powiat m.Żory;9
289;2601000;Powiat buski;4
290;2602000;Powiat jędrzejowski;11
291;2603000;Powiat kazimierski;2
292;2604000;Powiat kielecki;10
293;2605000;Powiat konecki;6
294;2606000;Powiat opatowski;3
295;2607000;Powiat ostrowiecki;7
296;2608000;Powiat pińczowski;4
297;2609000;Powiat sandomierski;11
298;2610000;Powiat skarżyski;8
299;2611000;Powiat starachowicki;8
300;2612000;Powiat staszowski;9
301;2613000;Powiat włoszczowski;7
302;2661000;Powiat m.Kielce;18
303;2801000;Powiat bartoszycki;6
304;2802000;Powiat braniewski;4
305;2803000;Powiat działdowski;2
306;2804000;Powiat elbląski;4
307;2805000;Powiat ełcki;6
308;2806000;Powiat giżycki;6
309;2807000;Powiat iławski;5
310;2808000;Powiat kętrzyński;7
311;2809000;Powiat lidzbarski;4
312;2810000;Powiat mrągowski;3
313;2811000;Powiat nidzicki;2
314;2812000;Powiat nowomiejski;0
315;2813000;Powiat olecki;4
316;2814000;Powiat olsztyński;12
317;2815000;Powiat ostródzki;7
318;2816000;Powiat piski;7
319;2817000;Powiat szczycieński;6
320;2818000;Powiat gołdapski;2
321;2819000;Powiat węgorzewski;3
322;2861000;Powiat m.Elbląg;12
323;2862000;Powiat m.Olsztyn;20
324;3001000;Powiat chodzieski;7
325;3002000;Powiat czarnkowsko-trzcianecki;11
326;3003000;Powiat gnieźnieński;11
327;3004000;Powiat gostyński;9
328;3005000;Powiat grodziski;6
329;3006000;Powiat jarociński;3
330;3007000;Powiat kaliski;3
331;3008000;Powiat kępiński;0
332;3009000;Powiat kolski;11
333;3010000;Powiat koniński;6
334;3011000;Powiat kościański;9
335;3012000;Powiat krotoszyński;1
336;3013000;Powiat leszczyński;13
337;3014000;Powiat międzychodzki;5
338;3015000;Powiat nowotomyski;11
339;3016000;Powiat obornicki;10
340;3017000;Powiat ostrowski;11
341;3018000;Powiat ostrzeszowski;6
342;3019000;Powiat pilski;14
343;3020000;Powiat pleszewski;6
344;3021000;Powiat poznański;24
345;3022000;Powiat rawicki;5
346;3023000;Powiat słupecki;7
347;3024000;Powiat szamotulski;16
348;3025000;Powiat średzki;11
349;3026000;Powiat śremski;6
350;3027000;Powiat turecki;4
351;3028000;Powiat wągrowiecki;7
352;3029000;Powiat wolsztyński;7
353;3030000;Powiat wrzesiński;9
354;3031000;Powiat złotowski;2
355;3061000;Powiat m.Kalisz;10
356;3062000;Powiat m.Konin;11
357;3063000;Powiat m.Leszno;10
358;3064000;Powiat m.Poznań;43
359;3201000;Powiat białogardzki;7
360;3202000;Powiat choszczeński;7
361;3203000;Powiat drawski;4
362;3204000;Powiat goleniowski;13
363;3205000;Powiat gryficki;5
364;3206000;Powiat gryfiński;11
365;3207000;Powiat kamieński;4
366;3208000;Powiat kołobrzeski;8
367;3209000;Powiat koszaliński;8
368;3210000;Powiat myśliborski;6
369;3211000;Powiat policki;19
370;3212000;Powiat pyrzycki;4
371;3213000;Powiat sławieński;5
372;3214000;Powiat stargardzki;12
373;3215000;Powiat szczecinecki;10
374;3216000;Powiat świdwiński;4
375;3217000;Powiat wałecki;7
376;3218000;Powiat łobeski;7
377;3261000;Powiat m.Koszalin;14
378;3262000;Powiat m.Szczecin;31
379;3263000;Powiat m.Świnoujście;16
